Person,System,EntitlementName,PermissionConfigurationDisplayName,LastChangedOn
Quinten Pronk (500006),Microsoft Active Directory,MBX-CA010 (avo.local/Demo/Groups/MBX-CA010),,04/29/2026 04:20:00
Quinten Pronk (500006),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,12/08/2025 02:24:00
Quinten Pronk (500006),Microsoft Active Directory,APP-Adobe-AcrobatPro (avo.local/Demo/Groups/APP-Adobe-AcrobatPro),,05/30/2025 08:49:00
Kim Terlouw (500007),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,07/10/2025 02:54:00
Kim Terlouw (500007),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,10/06/2025 17:37:00
Kim Terlouw (500007),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,03/21/2025 04:01:00
Kim Terlouw (500007),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,02/08/2026 08:52:00
Hanna Slootweg (500008),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,01/15/2026 21:23:00
Hanna Slootweg (500008),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,03/25/2025 07:50:00
Hanna Slootweg (500008),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,10/01/2025 07:46:00
Hanna Slootweg (500008),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,08/07/2025 00:21:00
Hanna Slootweg (500008),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,11/10/2025 06:07:00
Hanna Slootweg (500008),Microsoft Active Directory,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),,07/15/2025 07:31:00
Hanna Slootweg (500008),Microsoft Active Directory,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),,11/30/2025 18:36:00
Hanna Slootweg (500008),Microsoft Active Directory,FS-CA060-RW (avo.local/Demo/Groups/FS-CA060-RW),,09/12/2025 21:24:00
Jasper Roozendaal (500009),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,05/17/2026 15:40:00
Jasper Roozendaal (500009),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,01/09/2026 07:47:00
Jasper Roozendaal (500009),Microsoft Active Directory,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),,12/09/2025 06:29:00
Jasper Roozendaal (500009),Microsoft Active Directory,FS-FIN01-RW (avo.local/Demo/Groups/FS-FIN01-RW),,02/03/2026 20:17:00
Jasper Roozendaal (500009),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),,11/09/2025 12:42:00
Lars Ipenburg (500010),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,10/23/2025 18:51:00
Lars Ipenburg (500010),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,10/27/2025 09:51:00
Lars Ipenburg (500010),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,12/24/2025 07:04:00
Lars Ipenburg (500010),Microsoft Active Directory,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),,04/25/2025 10:09:00
Lars Ipenburg (500010),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),,06/01/2025 19:12:00
Lars Ipenburg (500010),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),,11/09/2025 03:07:00
Lars Ipenburg (500010),Microsoft Active Directory,MBX-CZ08 (avo.local/Demo/Groups/MBX-CZ08),,06/18/2025 10:04:00
Lars Ipenburg (500010),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,10/08/2025 11:12:00
Anne Hoekstra (500011),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,10/30/2025 18:17:00
Anne Hoekstra (500011),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,12/28/2025 01:16:00
Anne Hoekstra (500011),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,05/20/2026 16:16:00
Anne Hoekstra (500011),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,11/21/2025 13:22:00
Anne Hoekstra (500011),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,04/24/2025 03:04:00
Anne Hoekstra (500011),Microsoft Active Directory,APP-ICT03-Portal (avo.local/Demo/Groups/APP-ICT03-Portal),,07/28/2026 20:48:00
Anne Hoekstra (500011),Microsoft Active Directory,FS-ICT03-RO (avo.local/Demo/Groups/FS-ICT03-RO),,05/16/2025 05:00:00
Anne Hoekstra (500011),Microsoft Active Directory,FS-ICT03-RW (avo.local/Demo/Groups/FS-ICT03-RW),,07/02/2026 17:25:00
Anne Hoekstra (500011),Microsoft Active Directory,TEAM-ICT03 (avo.local/Demo/Groups/TEAM-ICT03),,06/05/2026 10:54:00
Anne Hoekstra (500011),Microsoft Active Directory,ROLE-Verpleegkundige (avo.local/Demo/Groups/ROLE-Verpleegkundige),,02/03/2026 02:28:00
Anne Hoekstra (500011),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),,12/11/2025 08:19:00
Eva Gerritsen (500012),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,05/19/2026 19:32:00
Eva Gerritsen (500012),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,07/05/2025 12:39:00
Eva Gerritsen (500012),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,03/16/2026 20:36:00
Eva Gerritsen (500012),Microsoft Active Directory,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),,10/22/2025 13:06:00
Eva Gerritsen (500012),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),,05/19/2026 05:19:00
Eva Gerritsen (500012),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),,05/03/2026 01:37:00
Eva Gerritsen (500012),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,05/02/2026 12:04:00
Bram Wielenga (500013),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,07/15/2025 02:17:00
Bram Wielenga (500013),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,11/26/2025 12:54:00
Bram Wielenga (500013),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,05/10/2025 14:03:00
Bram Wielenga (500013),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,03/31/2026 00:06:00
Bram Wielenga (500013),Microsoft Active Directory,APP-HRM02-Portal (avo.local/Demo/Groups/APP-HRM02-Portal),,12/06/2025 08:05:00
Bram Wielenga (500013),Microsoft Active Directory,FS-HRM02-RO (avo.local/Demo/Groups/FS-HRM02-RO),,03/18/2026 10:55:00
Bram Wielenga (500013),Microsoft Active Directory,FS-HRM02-RW (avo.local/Demo/Groups/FS-HRM02-RW),,12/22/2025 11:58:00
Bram Wielenga (500013),Microsoft Active Directory,TEAM-HRM02 (avo.local/Demo/Groups/TEAM-HRM02),,03/15/2026 20:13:00
Bram Wielenga (500013),Microsoft Active Directory,MBX-HRM02 (avo.local/Demo/Groups/MBX-HRM02),,12/02/2025 04:07:00
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,04/12/2026 03:25:00
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,04/22/2025 07:31:00
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,11/24/2025 23:32:00
Xander Uijlenbroek (500014),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,05/31/2025 07:08:00
Xander Uijlenbroek (500014),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,12/11/2025 08:33:00
Xander Uijlenbroek (500014),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),,07/09/2026 18:28:00
Sem Zomerdijk (500015),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,05/29/2025 01:27:00
Sem Zomerdijk (500015),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,05/01/2026 15:20:00
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,12/17/2025 06:00:00
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,10/23/2025 12:26:00
Sem Zomerdijk (500015),Microsoft Active Directory,FS-CA010-RW (avo.local/Demo/Groups/FS-CA010-RW),,07/25/2026 06:24:00
Sem Zomerdijk (500015),Microsoft Active Directory,TEAM-CA010 (avo.local/Demo/Groups/TEAM-CA010),,06/08/2025 02:25:00
Sem Zomerdijk (500015),Microsoft Active Directory,MBX-CA010 (avo.local/Demo/Groups/MBX-CA010),,10/10/2025 11:14:00
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,09/23/2025 20:38:00
Kim Oosterhuis (500016),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,11/17/2025 20:04:00
Kim Oosterhuis (500016),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,09/15/2025 04:42:00
Kim Oosterhuis (500016),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,01/01/2026 01:18:00
Kim Oosterhuis (500016),Microsoft Active Directory,FS-CZ08-RO (avo.local/Demo/Groups/FS-CZ08-RO),,06/13/2025 08:56:00
Kim Oosterhuis (500016),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),,01/28/2026 06:42:00
Kim Oosterhuis (500016),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,10/06/2025 06:41:00
Olivier Fokkema (500017),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,06/24/2026 09:27:00
Olivier Fokkema (500017),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,08/18/2025 06:34:00
Olivier Fokkema (500017),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,01/19/2026 15:48:00
Olivier Fokkema (500017),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,07/31/2025 09:34:00
Olivier Fokkema (500017),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,02/19/2026 12:50:00
Wout Oosterhuis (500018),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,04/08/2025 18:59:00
Wout Oosterhuis (500018),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,10/20/2025 00:04:00
Wout Oosterhuis (500018),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,03/30/2025 20:10:00
Wout Oosterhuis (500018),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,10/12/2025 16:38:00
Wout Oosterhuis (500018),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,07/27/2026 02:44:00
Wout Oosterhuis (500018),Microsoft Active Directory,FS-HRM02-RO (avo.local/Demo/Groups/FS-HRM02-RO),,01/11/2026 09:00:00
Wout Oosterhuis (500018),Microsoft Active Directory,FS-HRM02-RW (avo.local/Demo/Groups/FS-HRM02-RW),,03/17/2026 20:42:00
Wout Oosterhuis (500018),Microsoft Active Directory,TEAM-HRM02 (avo.local/Demo/Groups/TEAM-HRM02),,03/25/2025 13:01:00
Wout Oosterhuis (500018),Microsoft Active Directory,MBX-HRM02 (avo.local/Demo/Groups/MBX-HRM02),,11/19/2025 04:47:00
Quinten Aalbers (500019),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,12/05/2025 00:55:00
Quinten Aalbers (500019),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,11/04/2025 18:24:00
Quinten Aalbers (500019),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,01/07/2026 13:52:00
Quinten Aalbers (500019),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,04/07/2026 03:02:00
Quinten Aalbers (500019),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,07/15/2025 20:12:00
Wout Nagtegaal (500020),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,12/04/2025 18:08:00
Wout Nagtegaal (500020),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,09/08/2025 09:44:00
Wout Nagtegaal (500020),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,04/13/2025 00:24:00
Iris Coenen (500021),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,05/23/2026 16:31:00
Iris Coenen (500021),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,08/10/2025 21:08:00
Iris Coenen (500021),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,05/30/2025 22:36:00
Iris Coenen (500021),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,05/29/2026 12:33:00
Iris Coenen (500021),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,12/24/2025 21:56:00
Iris Coenen (500021),Microsoft Active Directory,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),,07/02/2026 06:28:00
Iris Coenen (500021),Microsoft Active Directory,FS-CA060-RW (avo.local/Demo/Groups/FS-CA060-RW),,11/06/2025 12:51:00
Iris Coenen (500021),Microsoft Active Directory,TEAM-CA060 (avo.local/Demo/Groups/TEAM-CA060),,01/08/2026 02:06:00
Iris Coenen (500021),Microsoft Active Directory,MBX-CA060 (avo.local/Demo/Groups/MBX-CA060),,07/28/2025 12:27:00
Noa Hoekstra (500022),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,05/02/2026 03:47:00
Noa Hoekstra (500022),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,07/18/2026 10:43:00
Noa Hoekstra (500022),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,10/21/2025 10:33:00
Noa Hoekstra (500022),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,06/01/2025 11:01:00
Noa Hoekstra (500022),Microsoft Active Directory,APP-FIN01-Portal (avo.local/Demo/Groups/APP-FIN01-Portal),,06/23/2025 10:37:00
Noa Hoekstra (500022),Microsoft Active Directory,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),,04/19/2025 10:38:00
Noa Hoekstra (500022),Microsoft Active Directory,FS-FIN01-RW (avo.local/Demo/Groups/FS-FIN01-RW),,04/19/2026 19:11:00
Noa Hoekstra (500022),Microsoft Active Directory,MBX-FIN01 (avo.local/Demo/Groups/MBX-FIN01),,04/23/2025 15:49:00
Noa Hoekstra (500022),Microsoft Active Directory,ROLE-Begeleider (avo.local/Demo/Groups/ROLE-Begeleider),,07/29/2026 02:33:00
Noa Hoekstra (500022),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),,01/09/2026 13:17:00
Anne Gerritsen (500023),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,06/26/2026 17:02:00
Anne Gerritsen (500023),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,03/19/2026 12:48:00
Anne Gerritsen (500023),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,10/20/2025 21:01:00
Anne Gerritsen (500023),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,03/16/2026 11:35:00
Anne Gerritsen (500023),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,09/17/2025 01:48:00
Anne Gerritsen (500023),Microsoft Active Directory,ROLE-Verzorgende (avo.local/Demo/Groups/ROLE-Verzorgende),,07/25/2025 23:36:00
Pien Kalisvaart (500024),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,07/02/2025 14:48:00
Pien Kalisvaart (500024),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,05/21/2026 00:40:00
Pien Kalisvaart (500024),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,05/11/2026 03:13:00
Pien Kalisvaart (500024),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,10/20/2025 07:44:00
Pien Kalisvaart (500024),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,06/23/2026 07:11:00
Pien Kalisvaart (500024),Microsoft Active Directory,FS-ICT03-RW (avo.local/Demo/Groups/FS-ICT03-RW),,02/12/2026 12:57:00
Pien Kalisvaart (500024),Microsoft Active Directory,TEAM-ICT03 (avo.local/Demo/Groups/TEAM-ICT03),,01/12/2026 01:09:00
Pien Kalisvaart (500024),Microsoft Active Directory,MBX-ICT03 (avo.local/Demo/Groups/MBX-ICT03),,06/07/2026 14:58:00
Noa Coenen (500025),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,10/11/2025 12:44:00
Noa Coenen (500025),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,09/29/2025 23:19:00
Noa Coenen (500025),Microsoft Active Directory,APP-CB12-Portal (avo.local/Demo/Groups/APP-CB12-Portal),,04/19/2025 21:30:00
Noa Coenen (500025),Microsoft Active Directory,TEAM-CB12 (avo.local/Demo/Groups/TEAM-CB12),,02/26/2026 16:26:00
Noa Coenen (500025),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,09/28/2025 07:01:00
Noa Coenen (500025),Microsoft Active Directory,ROLE-Verzorgende (avo.local/Demo/Groups/ROLE-Verzorgende),,02/15/2026 19:56:00
Noa Coenen (500025),Microsoft Active Directory,APP-Copilot (avo.local/Demo/Groups/APP-Copilot),,06/25/2026 22:49:00
Vera Coenen (500026),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,06/30/2025 10:29:00
Vera Coenen (500026),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,04/19/2025 04:49:00
Vera Coenen (500026),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,08/30/2025 20:35:00
Vera Coenen (500026),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,04/09/2026 12:56:00
Vera Coenen (500026),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,04/27/2025 23:41:00
Vera Coenen (500026),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,09/12/2025 15:54:00
Kim Coenen (500027),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,10/20/2025 02:50:00
Kim Coenen (500027),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,09/30/2025 06:00:00
Kim Coenen (500027),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,03/28/2025 15:22:00
