AssignmentGuid,UserName,UserGuid,ProductName,ProductGuid,ProductSku,RequestedAt,ApprovedAt,ReturnDate,Source,ApprovedBy,ApprovalComment,Approved
a00011-demo,rosa.coenen@avondrood.local,u00011,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-03-21T14:00:00.000,2024-03-23T09:00:00.000,,Request,Bram Elzinga,"Akkoord, tijdelijk",True
a00012-demo,dirk.prins@avondrood.local,u00012,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-01-03T07:00:00.000,2023-01-05T15:00:00.000,,Import,Roos Quaedvlieg,Akkoord – zie ticket,True
a00013-demo,bart.dekker@avondrood.local,u00013,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2022-11-23T17:00:00.000,2022-11-25T22:00:00.000,,Request,Zoë Willems,Nodig voor de functie,True
a00014-demo,tijn.elzinga@avondrood.local,u00014,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2022-11-25T16:00:00.000,2022-11-26T10:00:00.000,,Request,Elise Berkhout,"Akkoord, tijdelijk",True
a00015-demo,yara.kalisvaart@avondrood.local,u00015,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-03-26T21:00:00.000,2025-03-29T17:00:00.000,,Request,Elise Berkhout,Goedgekeurd na overleg,True
a00016-demo,yara.dehaan@avondrood.local,u00016,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-06-15T13:00:00.000,2026-06-17T11:00:00.000,,Request,yara.dehaan@avondrood.local,Akkoord,True
a00017-demo,mees.vandermeer@avondrood.local,u00017,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-05-09T19:00:00.000,2023-05-10T20:00:00.000,,Request,Roos Quaedvlieg,Akkoord,True
a00018-demo,bas.pronk@avondrood.local,u00018,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-06-15T05:00:00.000,2023-06-17T00:00:00.000,,Request,Guusje Smits,Akkoord – zie ticket,True
a00019-demo,fenna.vanveen@avondrood.local,u00019,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-05-20T12:00:00.000,2025-05-23T05:00:00.000,,Request,Sem Slootweg,Nodig voor de functie,True
a00020-demo,hanna.jonker@avondrood.local,u00020,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-08-25T01:00:00.000,2023-08-26T08:00:00.000,,Import,,,
a00021-demo,maarten.terlouw@avondrood.local,u00021,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-05-02T21:00:00.000,2024-05-03T22:00:00.000,,Request,Roos Quaedvlieg,Goedgekeurd na overleg,True
a00022-demo,rosa.kuiper@avondrood.local,u00022,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-05-14T12:00:00.000,2023-05-15T15:00:00.000,,Request,Puck Kalisvaart,Conform aanvraag,True
a00023-demo,carlijn.smit@avondrood.local,u00023,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-03-17T18:00:00.000,2024-03-19T07:00:00.000,,Request,Roos Quaedvlieg,Goedgekeurd na overleg,True
a00024-demo,tess.deboer@avondrood.local,u00024,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-01-07T03:00:00.000,2025-01-08T16:00:00.000,,Request,Zoë Willems,"Akkoord, tijdelijk",True
a00025-demo,anne.dejong@avondrood.local,u00025,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-03-26T16:00:00.000,2026-03-28T19:00:00.000,,Import,,,
a00026-demo,sanne.fokkema@avondrood.local,u00026,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-08-27T09:00:00.000,2025-08-30T05:00:00.000,2026-01-21T05:00:00,Import,,,
a00027-demo,sanne.vandermeer@avondrood.local,u00027,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-08-06T11:00:00.000,2023-08-08T04:00:00.000,,Request,Puck Kalisvaart,Akkoord – zie ticket,True
a00028-demo,gerben.vanbeek@avondrood.local,u00028,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-05-05T13:00:00.000,2026-05-05T19:00:00.000,,Request,Guusje Smits,Conform aanvraag,True
a00029-demo,finn.dijkgraaf@avondrood.local,u00029,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2022-10-27T20:00:00.000,2022-10-30T17:00:00.000,,Request,Zoë Willems,Akkoord,True
a00030-demo,yara.pronk@avondrood.local,u00030,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-01-09T18:00:00.000,2025-01-11T13:00:00.000,,Request,Roos Quaedvlieg,Nodig voor de functie,True
a00031-demo,elise.berkhout@avondrood.local,u00031,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-08-04T03:00:00.000,2024-08-06T03:00:00.000,,Request,,,
a00032-demo,floris.dijkgraaf@avondrood.local,u00032,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-09-05T01:00:00.000,2025-09-05T22:00:00.000,,Request,,,
a00033-demo,lotte.smits@avondrood.local,u00033,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-12-28T21:00:00.000,2025-12-29T09:00:00.000,,Request,Bram Elzinga,"Akkoord, tijdelijk",True
a00034-demo,tijn.vroegindeweij@avondrood.local,u00034,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-01-16T22:00:00.000,2026-01-18T07:00:00.000,,Request,Tijn Vroegindeweij,Nodig voor de functie,True
a00035-demo,kim.visser@avondrood.local,u00035,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2022-12-16T16:00:00.000,2022-12-17T01:00:00.000,,Request,Tijn Vroegindeweij,Ok,True
a00036-demo,nienke.lindeboom@avondrood.local,u00036,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-02-17T21:00:00.000,2024-02-19T08:00:00.000,,Request,Zoë Willems,Goedgekeurd na overleg,True
a00037-demo,elise.nagtegaal@avondrood.local,u00037,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-08-11T07:00:00.000,2026-08-11T19:00:00.000,,Request,Roos Quaedvlieg,Akkoord,True
a00038-demo,roos.fokkema@avondrood.local,u00038,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-06-01T03:00:00.000,2026-06-02T21:00:00.000,,Request,Sem Slootweg,Nodig voor de functie,True
a00039-demo,nora.kuiper2@avondrood.local,u00039,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-01-04T06:00:00.000,2024-01-04T18:00:00.000,,Request,Puck Kalisvaart,Conform aanvraag,True
a00040-demo,ymke.jacobs@avondrood.local,u00040,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-11-12T17:00:00.000,2025-11-13T18:00:00.000,,Import,,,
a00041-demo,stijn.quaedvlieg@avondrood.local,u00041,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-05-24T11:00:00.000,2025-05-25T13:00:00.000,,Request,Elise Berkhout,Akkoord – zie ticket,True
a00042-demo,bram.post@avondrood.local,u00042,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-09-16T11:00:00.000,2024-09-17T18:00:00.000,,Request,Elise Berkhout,Akkoord,True
a00043-demo,gerben.janssen@avondrood.local,u00043,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-07-30T13:00:00.000,2026-07-31T19:00:00.000,,Request,Rens de Graaf,Akkoord,True
a00044-demo,jasper.kalisvaart@avondrood.local,u00044,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-09-06T05:00:00.000,2023-09-08T21:00:00.000,,Request,jasper.kalisvaart@avondrood.local,"Akkoord, tijdelijk",True
a00045-demo,nora.vandijk@avondrood.local,u00045,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-10-26T21:00:00.000,2023-10-27T14:00:00.000,,Request,Bram Elzinga,Ok,True
a00046-demo,eva.slootweg@avondrood.local,u00046,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-09-21T02:00:00.000,2024-09-23T06:00:00.000,,Request,Fenna de Boer,Akkoord – zie ticket,True
a00047-demo,anne.devries2@avondrood.local,u00047,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-07-24T04:00:00.000,2023-07-24T19:00:00.000,,Import,Sem Slootweg,Ok,True
a00048-demo,bas.vandermeer@avondrood.local,u00048,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-05-08T00:00:00.000,2023-05-09T22:00:00.000,,Request,Puck Kalisvaart,Akkoord – zie ticket,True
a00049-demo,daphne.willems@avondrood.local,u00049,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-05-08T12:00:00.000,2023-05-08T16:00:00.000,,Request,Guusje Smits,Goedgekeurd na overleg,True
a00050-demo,otto.dijkstra@avondrood.local,u00050,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-10-06T21:00:00.000,2023-10-09T12:00:00.000,,Request,Sem Slootweg,Goedgekeurd na overleg,True
a00051-demo,kim.elzinga@avondrood.local,u00051,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-05-11T12:00:00.000,2023-05-12T21:00:00.000,,Import,Elise Berkhout,Akkoord,True
a00052-demo,floris.peters@avondrood.local,u00052,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-08-25T01:00:00.000,2022-08-27T07:00:00.000,,Request,,,
a00053-demo,anne.aalbers@avondrood.local,u00053,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-03-25T00:00:00.000,2025-03-26T17:00:00.000,,Request,Bram Elzinga,Goedgekeurd na overleg,True
a00054-demo,stijn.wielenga@avondrood.local,u00054,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-01-09T20:00:00.000,2023-01-12T10:00:00.000,,Import,Bram Elzinga,Nodig voor de functie,True
a00055-demo,puck.quaedvlieg@avondrood.local,u00055,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-02-02T17:00:00.000,2024-02-02T21:00:00.000,,Request,Elise Berkhout,Ok,True
a00056-demo,eva.slootweg@avondrood.local,u00056,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-10-16T13:00:00.000,2025-10-18T01:00:00.000,,Request,Fenna de Boer,Akkoord – zie ticket,True
a00057-demo,jasper.terlouw@avondrood.local,u00057,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-08-26T12:00:00.000,2025-08-29T00:00:00.000,,Request,Rens de Graaf,Goedgekeurd na overleg,True
a00058-demo,joris.hendriks@avondrood.local,u00058,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-06-03T10:00:00.000,2025-06-03T12:00:00.000,,Request,Elise Berkhout,Goedgekeurd na overleg,True
a00059-demo,jelle.schouten@avondrood.local,u00059,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-08-29T18:00:00.000,2022-09-01T05:00:00.000,,Request,Guusje Smits,Ok,True
a00060-demo,anne.degroot@avondrood.local,u00060,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-07-04T18:00:00.000,2025-07-04T20:00:00.000,,Request,Tijn Vroegindeweij,Conform aanvraag,True
a00061-demo,bart.vanleeuwen@avondrood.local,u00061,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-05-07T10:00:00.000,2026-05-07T17:00:00.000,,Request,Tijn Vroegindeweij,Goedgekeurd na overleg,True
a00062-demo,nora.vandijk@avondrood.local,u00062,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-10-21T19:00:00.000,2024-10-23T13:00:00.000,,Request,Bram Elzinga,Akkoord,True
a00063-demo,nora.dewit@avondrood.local,u00063,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-10-13T22:00:00.000,2025-10-15T22:00:00.000,,Request,Floris Willems,"Akkoord, tijdelijk",True
a00064-demo,pepijn.muijs@avondrood.local,u00064,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-04-02T08:00:00.000,2024-04-03T13:00:00.000,,Import,Floris Willems,Akkoord,True
a00065-demo,tess.deboer@avondrood.local,u00065,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-05-26T07:00:00.000,2026-05-26T17:00:00.000,,Request,,,
a00066-demo,bram.janssen@avondrood.local,u00066,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-10-30T03:00:00.000,2024-10-30T13:00:00.000,,Request,Floris Willems,Conform aanvraag,True
a00067-demo,yara.slootweg@avondrood.local,u00067,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-03-24T23:00:00.000,2023-03-26T11:00:00.000,2024-03-23T11:00:00,Request,Zoë Willems,Goedgekeurd na overleg,True
a00068-demo,iris.dijkstra2@avondrood.local,u00068,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-12-31T03:00:00.000,2024-01-02T03:00:00.000,,Import,Elise Berkhout,Ok,True
a00069-demo,rens.degraaf@avondrood.local,u00069,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-05-21T01:00:00.000,2026-05-23T04:00:00.000,,Request,Rens de Graaf,Nodig voor de functie,True
a00070-demo,puck.kalisvaart@avondrood.local,u00070,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-08-21T16:00:00.000,2022-08-23T18:00:00.000,,Request,,,
a00071-demo,bram.vandenheuvel@avondrood.local,u00071,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-08-29T02:00:00.000,2024-08-30T17:00:00.000,,Request,Zoë Willems,Akkoord – zie ticket,True
a00072-demo,jasper.huisman@avondrood.local,u00072,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-05-24T20:00:00.000,2023-05-27T05:00:00.000,,Import,Floris Willems,Conform aanvraag,True
a00073-demo,lotte.uijlenbroek@avondrood.local,u00073,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-09-10T23:00:00.000,2023-09-11T03:00:00.000,,Request,Puck Kalisvaart,Ok,True
a00074-demo,pien.slootweg@avondrood.local,u00074,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-03-02T10:00:00.000,2025-03-02T14:00:00.000,,Request,Elise Berkhout,Ok,True
a00075-demo,gerben.vanbeek@avondrood.local,u00075,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-10-21T23:00:00.000,2022-10-22T23:00:00.000,,Request,Guusje Smits,Goedgekeurd na overleg,True
a00076-demo,olivier.quaedvlieg@avondrood.local,u00076,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-01-07T08:00:00.000,2023-01-09T23:00:00.000,,Request,Tijn Vroegindeweij,Akkoord – zie ticket,True
a00077-demo,thijs.jacobs@avondrood.local,u00077,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-01-20T06:00:00.000,2024-01-22T17:00:00.000,2024-04-16T17:00:00,Request,Guusje Smits,Akkoord – zie ticket,True
a00078-demo,fenna.willems@avondrood.local,u00078,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-05-16T04:00:00.000,2023-05-18T01:00:00.000,,Request,Bram Elzinga,"Akkoord, tijdelijk",True
a00079-demo,fenna.vos@avondrood.local,u00079,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-06-28T06:00:00.000,2024-06-28T20:00:00.000,,Request,Puck Kalisvaart,Akkoord – zie ticket,True
a00080-demo,yfke.vandijk@avondrood.local,u00080,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-03-15T23:00:00.000,2026-03-17T09:00:00.000,,Request,Sem Slootweg,"Akkoord, tijdelijk",True
a00081-demo,pien.hendriks@avondrood.local,u00081,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-08-09T02:00:00.000,2023-08-09T03:00:00.000,,Request,Floris Willems,Conform aanvraag,True
a00082-demo,bram.elzinga@avondrood.local,u00082,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-12-13T07:00:00.000,2025-12-13T20:00:00.000,,Import,Bram Elzinga,Ok,True
a00083-demo,jelle.zomerdijk@avondrood.local,u00083,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-09-17T04:00:00.000,2024-09-17T05:00:00.000,,Import,,,
a00084-demo,lars.jacobs@avondrood.local,u00084,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-05-09T04:00:00.000,2026-05-11T06:00:00.000,,Request,Sem Slootweg,"Akkoord, tijdelijk",True
a00085-demo,hugo.vermeulen@avondrood.local,u00085,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-08-06T23:00:00.000,2023-08-08T19:00:00.000,,Request,,,
a00086-demo,yfke.hendriks@avondrood.local,u00086,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-05-24T22:00:00.000,2024-05-27T00:00:00.000,,Request,Floris Willems,"Akkoord, tijdelijk",True
a00087-demo,elise.nagtegaal@avondrood.local,u00087,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-11-24T07:00:00.000,2025-11-24T10:00:00.000,,Request,Roos Quaedvlieg,Akkoord,True
a00088-demo,bram.post@avondrood.local,u00088,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-10-22T03:00:00.000,2023-10-22T21:00:00.000,,Request,Elise Berkhout,Ok,True
a00089-demo,isa.quaedvlieg@avondrood.local,u00089,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-07-29T23:00:00.000,2026-08-01T05:00:00.000,,Request,,,
a00090-demo,xander.elzinga@avondrood.local,u00090,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-02-09T22:00:00.000,2026-02-11T17:00:00.000,,Request,Ursula Nagtegaal,Goedgekeurd na overleg,True
a00091-demo,anne.jacobs@avondrood.local,u00091,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-03-29T02:00:00.000,2026-03-29T10:00:00.000,,Request,Tijn Vroegindeweij,Akkoord – zie ticket,True
a00092-demo,eva.lindeboom@avondrood.local,u00092,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2026-04-23T08:00:00.000,2026-04-23T23:00:00.000,,Request,Zoë Willems,Conform aanvraag,True
a00093-demo,bas.koster@avondrood.local,u00093,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2025-02-25T14:00:00.000,2025-02-28T05:00:00.000,,Request,Roos Quaedvlieg,Akkoord,True
a00094-demo,yfke.degroot@avondrood.local,u00094,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-10-29T11:00:00.000,2022-10-31T14:00:00.000,,Import,Puck Kalisvaart,Conform aanvraag,True
a00095-demo,teun.gerritsen@avondrood.local,u00095,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-05-18T16:00:00.000,2024-05-21T15:00:00.000,,Request,Roos Quaedvlieg,Ok,True
a00096-demo,gerben.kuipers@avondrood.local,u00096,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-06-30T11:00:00.000,2024-07-02T21:00:00.000,,Request,Roos Quaedvlieg,Akkoord,True
a00097-demo,nora.vandam@avondrood.local,u00097,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-05-01T13:00:00.000,2024-05-03T11:00:00.000,,Request,Rens de Graaf,Akkoord,True
a00098-demo,anne.dejong@avondrood.local,u00098,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-09-08T18:00:00.000,2024-09-10T10:00:00.000,,Request,Rens de Graaf,Conform aanvraag,True
a00099-demo,jelle.post@avondrood.local,u00099,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-12-10T03:00:00.000,2022-12-12T01:00:00.000,,Import,Rens de Graaf,Akkoord – zie ticket,True
a00100-demo,eva.dehaan@avondrood.local,u00100,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-12-23T18:00:00.000,2024-12-24T12:00:00.000,,Request,Zoë Willems,Goedgekeurd na overleg,True
a00101-demo,tijn.elzinga@avondrood.local,u00101,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2023-01-01T02:00:00.000,2023-01-01T21:00:00.000,,Request,,,
a00102-demo,koen.uijlenbroek@avondrood.local,u00102,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-04-27T01:00:00.000,2024-04-29T21:00:00.000,,Request,Puck Kalisvaart,"Akkoord, tijdelijk",True
a00103-demo,ursula.deboer@avondrood.local,u00103,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2024-03-24T00:00:00.000,2024-03-26T08:00:00.000,,Request,Puck Kalisvaart,Conform aanvraag,True
a00104-demo,sofie.quaedvlieg@avondrood.local,u00104,Copilot,p0001-demo-0000-0000-000000000000,20240001DEMO,2022-11-14T03:00:00.000,2022-11-14T17:00:00.000,,Request,Guusje Smits,Nodig voor de functie,True
a00105-demo,stijn.degraaf@avondrood.local,u00105,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-03-29T22:00:00.000,2026-03-30T11:00:00.000,,Request,,,
a00106-demo,wout.kok@avondrood.local,u00106,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-03-27T10:00:00.000,2026-03-28T03:00:00.000,2027-03-23T03:00:00,Request,Elise Berkhout,Conform aanvraag,True
a00107-demo,noa.huisman@avondrood.local,u00107,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-01-21T09:00:00.000,2023-01-22T13:00:00.000,,Request,Elise Berkhout,Conform aanvraag,True
a00108-demo,zoe.ipenburg@avondrood.local,u00108,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-11-29T07:00:00.000,2025-11-30T07:00:00.000,,Request,Rens de Graaf,Akkoord,True
a00109-demo,anne.verhoeven@avondrood.local,u00109,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-04-23T09:00:00.000,2023-04-25T21:00:00.000,,Request,Zoë Willems,Goedgekeurd na overleg,True
a00110-demo,gerben.vanbeek@avondrood.local,u00110,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-08-21T20:00:00.000,2022-08-23T22:00:00.000,,Request,,,
a00111-demo,willem.smit@avondrood.local,u00111,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-05-17T21:00:00.000,2026-05-19T13:00:00.000,2026-08-01T13:00:00,Request,Ursula Nagtegaal,Akkoord – zie ticket,True
a00112-demo,jasper.smit@avondrood.local,u00112,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-03-16T14:00:00.000,2025-03-16T16:00:00.000,,Import,Guusje Smits,Goedgekeurd na overleg,True
a00113-demo,noa.vermeulen@avondrood.local,u00113,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-10-08T09:00:00.000,2025-10-09T23:00:00.000,,Request,Rens de Graaf,Goedgekeurd na overleg,True
a00114-demo,koen.slootweg@avondrood.local,u00114,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-04-28T06:00:00.000,2026-05-01T04:00:00.000,,Request,Bram Elzinga,Akkoord – zie ticket,True
a00115-demo,elise.gerritsen@avondrood.local,u00115,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-11-19T13:00:00.000,2024-11-21T12:00:00.000,,Request,Sem Slootweg,Akkoord,True
a00116-demo,nora.kuiper@avondrood.local,u00116,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-08-02T20:00:00.000,2022-08-04T05:00:00.000,,Request,Ursula Nagtegaal,Akkoord,True
a00117-demo,otto.maas@avondrood.local,u00117,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-06-06T02:00:00.000,2024-06-07T22:00:00.000,,Import,,,
a00118-demo,ymke.kok@avondrood.local,u00118,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-05-26T14:00:00.000,2026-05-26T16:00:00.000,,Request,Rens de Graaf,Akkoord,True
a00119-demo,gerben.dewit@avondrood.local,u00119,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-11-14T12:00:00.000,2023-11-14T21:00:00.000,,Request,Zoë Willems,Akkoord,True
a00120-demo,amber.peeters@avondrood.local,u00120,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-09-22T13:00:00.000,2023-09-25T02:00:00.000,,Request,Rens de Graaf,Conform aanvraag,True
a00121-demo,thijs.kok@avondrood.local,u00121,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-12-24T23:00:00.000,2022-12-26T09:00:00.000,,Request,Ursula Nagtegaal,Akkoord,True
