Person,System,EntitlementName,Operation,CreatedOn,FinishedOn,Origins,Result
Hanna Slootweg (500008),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,11/10/2025 06:07:00,11/10/2025 06:07:09,BusinessRuleUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),Grant,07/15/2025 07:31:00,07/15/2025 07:32:24,Import,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),Grant,11/30/2025 18:36:00,11/30/2025 18:36:32,PersonUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,FS-CA060-RW (avo.local/Demo/Groups/FS-CA060-RW),Grant,09/12/2025 21:24:00,09/12/2025 21:25:12,Import,Succeeded
Jasper Roozendaal (500009),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,05/17/2026 15:40:00,05/17/2026 15:40:26,Import,Succeeded
Jasper Roozendaal (500009),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,01/09/2026 07:47:00,01/09/2026 07:47:59,PersonUpdate,Succeeded
Jasper Roozendaal (500009),Microsoft Active Directory,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),Grant,12/09/2025 06:29:00,12/09/2025 06:30:03,PersonUpdate,Succeeded
Jasper Roozendaal (500009),Microsoft Active Directory,FS-FIN01-RW (avo.local/Demo/Groups/FS-FIN01-RW),Grant,02/03/2026 20:17:00,02/03/2026 20:18:23,BusinessRuleUpdate,Succeeded
Jasper Roozendaal (500009),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),Grant,11/09/2025 12:42:00,11/09/2025 12:42:45,BusinessRuleUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,10/23/2025 18:51:00,10/23/2025 18:52:04,PersonUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,10/27/2025 09:51:00,10/27/2025 09:52:29,PersonUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,12/24/2025 07:04:00,12/24/2025 07:04:42,PersonUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),Grant,04/25/2025 10:09:00,04/25/2025 10:09:01,PersonUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),Grant,06/01/2025 19:12:00,06/01/2025 19:12:44,BusinessRuleUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),Grant,11/09/2025 03:07:00,11/09/2025 03:07:08,ContractUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,MBX-CZ08 (avo.local/Demo/Groups/MBX-CZ08),Grant,06/18/2025 10:04:00,06/18/2025 10:05:21,PersonUpdate,Succeeded
Lars Ipenburg (500010),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,10/08/2025 11:12:00,10/08/2025 11:13:16,ContractUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,10/30/2025 18:17:00,10/30/2025 18:17:37,PersonUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,12/28/2025 01:16:00,12/28/2025 01:16:33,Import,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,05/20/2026 16:16:00,05/20/2026 16:16:47,BusinessRuleUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,11/21/2025 13:22:00,11/21/2025 13:22:27,ContractUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,04/24/2025 03:04:00,04/24/2025 03:05:13,PersonUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,APP-ICT03-Portal (avo.local/Demo/Groups/APP-ICT03-Portal),Grant,07/28/2026 20:48:00,07/28/2026 20:48:28,Import,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,FS-ICT03-RO (avo.local/Demo/Groups/FS-ICT03-RO),Grant,05/16/2025 05:00:00,05/16/2025 05:00:34,PersonUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,FS-ICT03-RW (avo.local/Demo/Groups/FS-ICT03-RW),Grant,07/02/2026 17:25:00,07/02/2026 17:26:22,ContractUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,TEAM-ICT03 (avo.local/Demo/Groups/TEAM-ICT03),Grant,06/05/2026 10:54:00,06/05/2026 10:54:36,ContractUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,ROLE-Verpleegkundige (avo.local/Demo/Groups/ROLE-Verpleegkundige),Grant,02/03/2026 02:28:00,02/03/2026 02:29:06,PersonUpdate,Succeeded
Anne Hoekstra (500011),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),Grant,12/11/2025 08:19:00,12/11/2025 08:19:48,Import,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,05/19/2026 19:32:00,05/19/2026 19:33:18,Import,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,07/05/2025 12:39:00,07/05/2025 12:40:01,Import,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,03/16/2026 20:36:00,03/16/2026 20:36:47,BusinessRuleUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),Grant,10/22/2025 13:06:00,10/22/2025 13:06:37,PersonUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),Grant,05/19/2026 05:19:00,05/19/2026 05:20:18,BusinessRuleUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),Grant,05/03/2026 01:37:00,05/03/2026 01:38:23,BusinessRuleUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),Revoke,05/23/2026 01:37:00,05/23/2026 01:37:52,ContractUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),Grant,06/02/2026 01:37:00,06/02/2026 01:37:09,ContractUpdate,Succeeded
Eva Gerritsen (500012),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,05/02/2026 12:04:00,05/02/2026 12:05:27,Import,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,07/15/2025 02:17:00,07/15/2025 02:17:40,BusinessRuleUpdate,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,11/26/2025 12:54:00,11/26/2025 12:54:51,Import,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,05/10/2025 14:03:00,05/10/2025 14:03:03,BusinessRuleUpdate,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,03/31/2026 00:06:00,03/31/2026 00:06:12,PersonUpdate,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,APP-HRM02-Portal (avo.local/Demo/Groups/APP-HRM02-Portal),Grant,12/06/2025 08:05:00,12/06/2025 08:05:44,Import,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,FS-HRM02-RO (avo.local/Demo/Groups/FS-HRM02-RO),Grant,03/18/2026 10:55:00,03/18/2026 10:55:33,Import,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,FS-HRM02-RW (avo.local/Demo/Groups/FS-HRM02-RW),Grant,12/22/2025 11:58:00,12/22/2025 11:59:02,Import,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,TEAM-HRM02 (avo.local/Demo/Groups/TEAM-HRM02),Grant,03/15/2026 20:13:00,03/15/2026 20:13:50,BusinessRuleUpdate,Succeeded
Bram Wielenga (500013),Microsoft Active Directory,MBX-HRM02 (avo.local/Demo/Groups/MBX-HRM02),Grant,12/02/2025 04:07:00,12/02/2025 04:07:24,ContractUpdate,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,04/12/2026 03:25:00,04/12/2026 03:25:06,ContractUpdate,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,04/22/2025 07:31:00,04/22/2025 07:31:18,Import,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,11/24/2025 23:32:00,11/24/2025 23:32:27,Import,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,05/31/2025 07:08:00,05/31/2025 07:09:26,BusinessRuleUpdate,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,12/11/2025 08:33:00,12/11/2025 08:33:17,PersonUpdate,Succeeded
Xander Uijlenbroek (500014),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),Grant,07/09/2026 18:28:00,07/09/2026 18:28:36,Import,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,05/29/2025 01:27:00,05/29/2025 01:27:53,ContractUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,05/01/2026 15:20:00,05/01/2026 15:20:42,ContractUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,12/17/2025 06:00:00,12/17/2025 06:00:32,PersonUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,10/23/2025 12:26:00,10/23/2025 12:27:20,ContractUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Revoke,10/24/2025 12:26:00,10/24/2025 12:26:07,ContractUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,11/06/2025 12:26:00,11/06/2025 12:26:35,ContractUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,FS-CA010-RW (avo.local/Demo/Groups/FS-CA010-RW),Grant,07/25/2026 06:24:00,07/25/2026 06:24:51,Import,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,TEAM-CA010 (avo.local/Demo/Groups/TEAM-CA010),Grant,06/08/2025 02:25:00,06/08/2025 02:25:47,Import,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,MBX-CA010 (avo.local/Demo/Groups/MBX-CA010),Grant,10/10/2025 11:14:00,10/10/2025 11:15:13,BusinessRuleUpdate,Succeeded
Sem Zomerdijk (500015),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,09/23/2025 20:38:00,09/23/2025 20:38:59,PersonUpdate,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,11/17/2025 20:04:00,11/17/2025 20:04:02,Import,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,09/15/2025 04:42:00,09/15/2025 04:43:21,Import,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,01/01/2026 01:18:00,01/01/2026 01:18:44,PersonUpdate,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,FS-CZ08-RO (avo.local/Demo/Groups/FS-CZ08-RO),Grant,06/13/2025 08:56:00,06/13/2025 08:56:32,Import,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),Grant,01/28/2026 06:42:00,01/28/2026 06:43:26,PersonUpdate,Succeeded
Kim Oosterhuis (500016),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,10/06/2025 06:41:00,10/06/2025 06:41:05,Import,Succeeded
Olivier Fokkema (500017),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,06/24/2026 09:27:00,06/24/2026 09:27:32,BusinessRuleUpdate,Succeeded
Olivier Fokkema (500017),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,08/18/2025 06:34:00,08/18/2025 06:34:24,BusinessRuleUpdate,Succeeded
Olivier Fokkema (500017),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,01/19/2026 15:48:00,01/19/2026 15:48:58,PersonUpdate,Succeeded
Olivier Fokkema (500017),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,07/31/2025 09:34:00,07/31/2025 09:34:24,ContractUpdate,Succeeded
Olivier Fokkema (500017),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,02/19/2026 12:50:00,02/19/2026 12:50:28,BusinessRuleUpdate,Succeeded
