System,Person,AccountDisplayName,AccountUserName,AccountEnabled,PermissionDisplayName,PermissionConfigurationDisplayName,SubPermissionDisplayName,Issue,Resolution
Microsoft Active Directory,Olivier Terlouw (500233),Olivier Terlouw,olivier.terlouw39,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Iris Slootweg (500297),Iris Slootweg,iris.slootweg6,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Bram Jonker (500287),Bram Jonker,bram.jonker93,True,MBX-CA060 (avo.local/Demo/Groups/MBX-CA060),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Uijlenbroek (500133),Olivier Uijlenbroek,olivier.uijlenbroek36,True,PRINT-Default (avo.local/Demo/Groups/PRINT-Default),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Aalbers (500165),Gijs Aalbers,gijs.aalbers68,True,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,,Permission unmanaged,None
Microsoft Active Directory,Mila Wielenga (500258),Mila Wielenga,mila.wielenga64,False,APP-ZRG06-Portal (avo.local/Demo/Groups/APP-ZRG06-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Cato Hoekstra (500139),Cato Hoekstra,cato.hoekstra42,True,TEAM-CZ08 (avo.local/Demo/Groups/TEAM-CZ08),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Dijkgraaf (500115),Ursula Dijkgraaf,ursula.dijkgraaf18,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Mila Slootweg (500275),Mila Slootweg,mila.slootweg81,True,LIC-M365-E3 (avo.local/Demo/Groups/LIC-M365-E3),,,Permission unmanaged,None
Microsoft Active Directory,Mila Kalisvaart (500017),Mila Kalisvaart,mila.kalisvaart17,True,LIC-M365-E5 (avo.local/Demo/Groups/LIC-M365-E5),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Roozendaal (500011),Olivier Roozendaal,olivier.roozendaal11,True,PRINT-Thuiswerkplek (avo.local/Demo/Groups/PRINT-Thuiswerkplek),,,Permission unmanaged,None
Microsoft Active Directory,Iris Quaedvlieg (500018),Iris Quaedvlieg,iris.quaedvlieg18,True,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),,,Permission unmanaged,None
Microsoft Active Directory,Daan Pronk (500030),Daan Pronk,daan.pronk30,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Xander Elzinga (500083),Xander Elzinga,xander.elzinga83,False,ROLE-Kwaliteitsadviseur (avo.local/Demo/Groups/ROLE-Kwaliteitsadviseur),,,Permission unmanaged,None
Microsoft Active Directory,Iris Quaedvlieg (500018),Iris Quaedvlieg,iris.quaedvlieg18,True,PRINT-Thuiswerkplek (avo.local/Demo/Groups/PRINT-Thuiswerkplek),,,Permission unmanaged,None
Microsoft Active Directory,Eva Hoekstra (500179),Eva Hoekstra,eva.hoekstra82,True,APP-Planner (avo.local/Demo/Groups/APP-Planner),,,Permission unmanaged,None
Microsoft Active Directory,Iris Muijs (500105),Iris Muijs,iris.muijs8,True,PRINT-Thuiswerkplek (avo.local/Demo/Groups/PRINT-Thuiswerkplek),,,Permission unmanaged,None
Microsoft Active Directory,Anne Slootweg (500194),Anne Slootweg,anne.slootweg0,True,APP-Visio (avo.local/Demo/Groups/APP-Visio),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Nagtegaal (500059),Zoë Nagtegaal,zoe.nagtegaal59,True,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),,,Permission unmanaged,None
Microsoft Active Directory,Finn Jonker (500130),Finn Jonker,finn.jonker33,True,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Quaedvlieg (500051),Ursula Quaedvlieg,ursula.quaedvlieg51,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Cato Jonker (500255),Cato Jonker,cato.jonker61,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Xander Oosterhuis (500114),Xander Oosterhuis,xander.oosterhuis17,True,TEAM-ZRG06 (avo.local/Demo/Groups/TEAM-ZRG06),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Wielenga (500204),Gijs Wielenga,gijs.wielenga10,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Daan Lindeboom (500286),Daan Lindeboom,daan.lindeboom92,True,APP-FAC04-Portal (avo.local/Demo/Groups/APP-FAC04-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Gerritsen (500292),Gijs Gerritsen,gijs.gerritsen1,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Wout Oosterhuis (500069),Wout Oosterhuis,wout.oosterhuis69,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Daan Lindeboom (500286),Daan Lindeboom,daan.lindeboom92,True,MBX-FAC04 (avo.local/Demo/Groups/MBX-FAC04),,,Permission unmanaged,None
Microsoft Active Directory,Sem Vroegindeweij (500166),Sem Vroegindeweij,sem.vroegindeweij69,True,TEAM-COM05 (avo.local/Demo/Groups/TEAM-COM05),,,Permission unmanaged,None
Microsoft Active Directory,Finn Muijs (500040),Finn Muijs,finn.muijs40,True,FS-INK08-RO (avo.local/Demo/Groups/FS-INK08-RO),,,Permission unmanaged,None
Microsoft Active Directory,Daan Muijs (500068),Daan Muijs,daan.muijs68,True,MBX-CA010 (avo.local/Demo/Groups/MBX-CA010),,,Permission unmanaged,None
Microsoft Active Directory,Roos Slootweg (500197),Roos Slootweg,roos.slootweg3,True,PRINT-Apeldoorn (avo.local/Demo/Groups/PRINT-Apeldoorn),,,Permission unmanaged,None
Microsoft Active Directory,Xander Zomerdijk (500176),Xander Zomerdijk,xander.zomerdijk79,True,FS-CB12-RO (avo.local/Demo/Groups/FS-CB12-RO),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Hoekstra (500280),Ursula Hoekstra,ursula.hoekstra86,True,TEAM-CB12 (avo.local/Demo/Groups/TEAM-CB12),,,Permission unmanaged,None
Microsoft Active Directory,Mila Jonker (500171),Mila Jonker,mila.jonker74,True,ROLE-Begeleider (avo.local/Demo/Groups/ROLE-Begeleider),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Muijs (500302),Ursula Muijs,ursula.muijs11,True,LIC-M365-E1 (avo.local/Demo/Groups/LIC-M365-E1),,,Permission unmanaged,None
Microsoft Active Directory,Mila Slootweg (500186),Mila Slootweg,mila.slootweg89,True,APP-Adobe-AcrobatPro (avo.local/Demo/Groups/APP-Adobe-AcrobatPro),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Quaedvlieg (500246),Jasper Quaedvlieg,jasper.quaedvlieg52,True,PRINT-Thuiswerkplek (avo.local/Demo/Groups/PRINT-Thuiswerkplek),,,Permission unmanaged,None
Microsoft Active Directory,Finn Oosterhuis (500160),Finn Oosterhuis,finn.oosterhuis63,True,TEAM-HRM02 (avo.local/Demo/Groups/TEAM-HRM02),,,Permission unmanaged,None
Microsoft Active Directory,Roos Quaedvlieg (500291),Roos Quaedvlieg,roos.quaedvlieg0,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Muijs (500021),Hanna Muijs,hanna.muijs21,True,FS-CB12-RO (avo.local/Demo/Groups/FS-CB12-RO),,,Permission unmanaged,None
Microsoft Active Directory,Noa Wielenga (500223),Noa Wielenga,noa.wielenga29,True,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),,,Permission unmanaged,None
Microsoft Active Directory,Yara Vroegindeweij (500206),Yara Vroegindeweij,yara.vroegindeweij12,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Lars Roozendaal (500313),Lars Roozendaal,lars.roozendaal22,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Ipenburg (500273),Olivier Ipenburg,olivier.ipenburg79,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Berkhout (500137),Hanna Berkhout,hanna.berkhout40,True,PRINT-Zwolle (avo.local/Demo/Groups/PRINT-Zwolle),,,Permission unmanaged,None
Microsoft Active Directory,Quinten Jonker (500131),Quinten Jonker,quinten.jonker34,True,APP-Teams (avo.local/Demo/Groups/APP-Teams),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Wielenga (500119),Jasper Wielenga,jasper.wielenga22,True,PRINT-Deventer (avo.local/Demo/Groups/PRINT-Deventer),,,Permission unmanaged,None
Microsoft Active Directory,Roos Aalbers (500038),Roos Aalbers,roos.aalbers38,True,FS-KWA07-RO (avo.local/Demo/Groups/FS-KWA07-RO),,,Permission unmanaged,None
Microsoft Active Directory,Lars Wielenga (500164),Lars Wielenga,lars.wielenga67,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Pien Kalisvaart (500154),Pien Kalisvaart,pien.kalisvaart57,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Eva Nagtegaal (500082),Eva Nagtegaal,eva.nagtegaal82,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Terlouw (500101),Hanna Terlouw,hanna.terlouw4,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Iris Nagtegaal (500217),Iris Nagtegaal,iris.nagtegaal23,True,APP-INK08-Portal (avo.local/Demo/Groups/APP-INK08-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Mila Oosterhuis (500144),Mila Oosterhuis,mila.oosterhuis47,True,LIC-M365-E3 (avo.local/Demo/Groups/LIC-M365-E3),,,Permission unmanaged,None
Microsoft Active Directory,Cato Roozendaal (500250),Cato Roozendaal,cato.roozendaal56,True,MBX-KWA07 (avo.local/Demo/Groups/MBX-KWA07),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Fokkema (500244),Gijs Fokkema,gijs.fokkema50,True,APP-PowerBI-Pro (avo.local/Demo/Groups/APP-PowerBI-Pro),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Jonker (500193),Hanna Jonker,hanna.jonker96,True,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Berkhout (500228),Jasper Berkhout,jasper.berkhout34,True,FS-CZ08-RW (avo.local/Demo/Groups/FS-CZ08-RW),,,Permission unmanaged,None
Microsoft Active Directory,Cato Nagtegaal (500161),Cato Nagtegaal,cato.nagtegaal64,True,FS-CB12-RW (avo.local/Demo/Groups/FS-CB12-RW),,,Permission unmanaged,None
Microsoft Active Directory,Xander Hoekstra (500170),Xander Hoekstra,xander.hoekstra73,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Hoekstra (500306),Jasper Hoekstra,jasper.hoekstra15,False,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Finn Muijs (500040),Finn Muijs,finn.muijs40,True,APP-Teams (avo.local/Demo/Groups/APP-Teams),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Slootweg (500084),Jasper Slootweg,jasper.slootweg84,True,PRINT-Thuiswerkplek (avo.local/Demo/Groups/PRINT-Thuiswerkplek),,,Permission unmanaged,None
Microsoft Active Directory,Roos Berkhout (500077),Roos Berkhout,roos.berkhout77,True,PRINT-Deventer (avo.local/Demo/Groups/PRINT-Deventer),,,Permission unmanaged,None
Microsoft Active Directory,Eva Roozendaal (500060),Eva Roozendaal,eva.roozendaal60,False,FS-Applicatiebeheerder-DATA (avo.local/Demo/Groups/FS-Applicatiebeheerder-DATA),,,Permission unmanaged,None
Microsoft Active Directory,Mila Dijkgraaf (500248),Mila Dijkgraaf,mila.dijkgraaf54,True,FS-COM05-RO (avo.local/Demo/Groups/FS-COM05-RO),,,Permission unmanaged,None
Microsoft Active Directory,Mila Oosterhuis (500144),Mila Oosterhuis,mila.oosterhuis47,True,WIFI-Personeel (avo.local/Demo/Groups/WIFI-Personeel),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Hoekstra (500306),Jasper Hoekstra,jasper.hoekstra15,False,APP-PowerBI-Pro (avo.local/Demo/Groups/APP-PowerBI-Pro),,,Permission unmanaged,None
Microsoft Active Directory,Xander Jonker (500126),Xander Jonker,xander.jonker29,True,APP-Planner (avo.local/Demo/Groups/APP-Planner),,,Permission unmanaged,None
Microsoft Active Directory,Quinten Elzinga (500078),Quinten Elzinga,quinten.elzinga78,True,TEAM-FAC04 (avo.local/Demo/Groups/TEAM-FAC04),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Terlouw (500101),Hanna Terlouw,hanna.terlouw4,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Mila Lindeboom (500089),Mila Lindeboom,mila.lindeboom89,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Sem Vroegindeweij (500166),Sem Vroegindeweij,sem.vroegindeweij69,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,,Service account svc-fin0114,svc-fin0114,True,SRV-RDP-Beheerservers (avo.local/Demo/Groups/SRV-RDP-Beheerservers),,,Permission unmanaged,None
Microsoft Active Directory,Cato Roozendaal (500250),Cato Roozendaal,cato.roozendaal56,True,PRINT-Zwolle (avo.local/Demo/Groups/PRINT-Zwolle),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Slootweg (500029),Ursula Slootweg,ursula.slootweg29,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Finn Fokkema (500264),Finn Fokkema,finn.fokkema70,True,WIFI-Personeel (avo.local/Demo/Groups/WIFI-Personeel),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Slootweg (500180),Ursula Slootweg,ursula.slootweg83,True,FS-ZRG06-RW (avo.local/Demo/Groups/FS-ZRG06-RW),,,Permission unmanaged,None
Microsoft Active Directory,Noa Aalbers (500056),Noa Aalbers,noa.aalbers56,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Roozendaal (500011),Olivier Roozendaal,olivier.roozendaal11,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Dijkgraaf (500076),Olivier Dijkgraaf,olivier.dijkgraaf76,True,TEAM-CA060 (avo.local/Demo/Groups/TEAM-CA060),,,Permission unmanaged,None
Microsoft Active Directory,Xander Jonker (500126),Xander Jonker,xander.jonker29,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
Microsoft Active Directory,Sem Lindeboom (500216),Sem Lindeboom,sem.lindeboom22,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Eva Nagtegaal (500082),Eva Nagtegaal,eva.nagtegaal82,True,VPN-Thuiswerken (avo.local/Demo/Groups/VPN-Thuiswerken),,,Permission unmanaged,None
Microsoft Active Directory,Lars Roozendaal (500313),Lars Roozendaal,lars.roozendaal22,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Coenen (500168),Gijs Coenen,gijs.coenen71,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Daan Elzinga (500266),Daan Elzinga,daan.elzinga72,False,MBX-CB12 (avo.local/Demo/Groups/MBX-CB12),,,Permission unmanaged,None
Microsoft Active Directory,Daan Gerritsen (500086),Daan Gerritsen,daan.gerritsen86,True,WIFI-Personeel (avo.local/Demo/Groups/WIFI-Personeel),,,Permission unmanaged,None
Microsoft Active Directory,Daan Gerritsen (500086),Daan Gerritsen,daan.gerritsen86,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Yara Vroegindeweij (500206),Yara Vroegindeweij,yara.vroegindeweij12,True,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Finn Berkhout (500062),Finn Berkhout,finn.berkhout62,True,TEAM-HRM02 (avo.local/Demo/Groups/TEAM-HRM02),,,Permission unmanaged,None
Microsoft Active Directory,Daan Gerritsen (500109),Daan Gerritsen,daan.gerritsen12,True,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),,,Permission unmanaged,None
Microsoft Active Directory,Wout Nagtegaal (500155),Wout Nagtegaal,wout.nagtegaal58,True,ROLE-Applicatiebeheerder (avo.local/Demo/Groups/ROLE-Applicatiebeheerder),,,Permission unmanaged,None
Microsoft Active Directory,Xander Aalbers (500209),Xander Aalbers,xander.aalbers15,True,WIFI-Personeel (avo.local/Demo/Groups/WIFI-Personeel),,,Permission unmanaged,None
Microsoft Active Directory,Daan Lindeboom (500286),Daan Lindeboom,daan.lindeboom92,True,FS-FAC04-RO (avo.local/Demo/Groups/FS-FAC04-RO),,,Permission unmanaged,None
Microsoft Active Directory,Cato Hoekstra (500094),Cato Hoekstra,cato.hoekstra94,True,FS-INK08-RW (avo.local/Demo/Groups/FS-INK08-RW),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Nagtegaal (500199),Ursula Nagtegaal,ursula.nagtegaal5,True,TEAM-CA060 (avo.local/Demo/Groups/TEAM-CA060),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Terlouw (500290),Zoë Terlouw,zoe.terlouw96,True,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,,Permission unmanaged,None
Microsoft Active Directory,Mila Pronk (500125),Mila Pronk,mila.pronk28,False,PRINT-Zwolle (avo.local/Demo/Groups/PRINT-Zwolle),,,Permission unmanaged,None
Microsoft Active Directory,Kim Roozendaal (500307),Kim Roozendaal,kim.roozendaal16,True,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,,Permission unmanaged,None
Microsoft Active Directory,Iris Dijkgraaf (500265),Iris Dijkgraaf,iris.dijkgraaf71,True,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,,Permission unmanaged,None
Microsoft Active Directory,Eva Wielenga (500121),Eva Wielenga,eva.wielenga24,True,APP-Teams (avo.local/Demo/Groups/APP-Teams),,,Permission unmanaged,None
Microsoft Active Directory,Iris Elzinga (500066),Iris Elzinga,iris.elzinga66,True,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,,Permission unmanaged,None
Microsoft Active Directory,Olivier Zomerdijk (500260),Olivier Zomerdijk,olivier.zomerdijk66,True,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,,Permission unmanaged,None
Microsoft Active Directory,Finn Jonker (500130),Finn Jonker,finn.jonker33,True,ROLE-Wijkverpleegkundige (avo.local/Demo/Groups/ROLE-Wijkverpleegkundige),,,Permission unmanaged,None
Microsoft Active Directory,Bram Oosterhuis (500191),Bram Oosterhuis,bram.oosterhuis94,True,FS-HRM02-RW (avo.local/Demo/Groups/FS-HRM02-RW),,,Permission unmanaged,None
Microsoft Active Directory,Ursula Pronk (500311),Ursula Pronk,ursula.pronk20,True,APP-Adobe-AcrobatPro (avo.local/Demo/Groups/APP-Adobe-AcrobatPro),,,Permission unmanaged,None
Microsoft Active Directory,Cato Slootweg (500113),Cato Slootweg,cato.slootweg16,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Oosterhuis (500269),Hanna Oosterhuis,hanna.oosterhuis75,True,FS-Kwaliteitsadviseur-DATA (avo.local/Demo/Groups/FS-Kwaliteitsadviseur-DATA),,,Permission unmanaged,None
Microsoft Active Directory,Vera Jonker (500239),Vera Jonker,vera.jonker45,True,MBX-HRM02 (avo.local/Demo/Groups/MBX-HRM02),,,Permission unmanaged,None
Microsoft Active Directory,Jasper Hoekstra (500306),Jasper Hoekstra,jasper.hoekstra15,False,PRINT-Default (avo.local/Demo/Groups/PRINT-Default),,,Permission unmanaged,None
Microsoft Active Directory,Roos Gerritsen (500070),Roos Gerritsen,roos.gerritsen70,False,FS-ZRG06-RW (avo.local/Demo/Groups/FS-ZRG06-RW),,,Permission unmanaged,None
Microsoft Active Directory,Yara Coenen (500175),Yara Coenen,yara.coenen78,True,APP-Project (avo.local/Demo/Groups/APP-Project),,,Permission unmanaged,None
Microsoft Active Directory,Finn Muijs (500040),Finn Muijs,finn.muijs40,True,LIC-M365-E5 (avo.local/Demo/Groups/LIC-M365-E5),,,Permission unmanaged,None
Microsoft Active Directory,Cato Nagtegaal (500161),Cato Nagtegaal,cato.nagtegaal64,True,APP-CB12-Portal (avo.local/Demo/Groups/APP-CB12-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Kim Elzinga (500064),Kim Elzinga,kim.elzinga64,True,APP-HRM02-Portal (avo.local/Demo/Groups/APP-HRM02-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Mila Berkhout (500187),Mila Berkhout,mila.berkhout90,True,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,,Permission unmanaged,None
Microsoft Active Directory,Hanna Coenen (500088),Hanna Coenen,hanna.coenen88,True,PRINT-Deventer (avo.local/Demo/Groups/PRINT-Deventer),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Dijkgraaf (500303),Gijs Dijkgraaf,gijs.dijkgraaf12,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
